beach;year;Arena;Vegetacion;ta;na
Ramirez;1984;40235;0;40235;1.691263103
Ramirez;1985;38968;0;38968;1.414765621
Ramirez;1986;40235;0;40235;1.691263103
Ramirez;1987;34460;0;34460;0.430984524
Ramirez;1988;37957;0;37957;1.194135033
Ramirez;1989;37426;0;37426;1.078254873
Ramirez;1990;36092;0;36092;0.787135977
Ramirez;1991;29893;0;29893;-0.565672147
Ramirez;1992;30938;0;30938;-0.337621737
Ramirez;1993;29754;0;29754;-0.596006125
Ramirez;1994;30490;0;30490;-0.435388803
Ramirez;1995;30086;0;30086;-0.523553746
Ramirez;1996;34076;0;34076;0.347184182
Ramirez;1997;31203;0;31203;-0.279790772
Ramirez;1998;32272;0;32272;-0.046502841
Ramirez;1999;37790;0;37790;1.157690614
Ramirez;2000;30291;0;30291;-0.478816584
Ramirez;2001;34322;0;34322;0.400868776
Ramirez;2002;34657;0;34657;0.473975845
Ramirez;2003;41685;0;41685;2.007696686
Ramirez;2004;36365;0;36365;0.846712782
Ramirez;2005;32109;0;32109;-0.082074341
Ramirez;2006;29009;0;29009;-0.758587518
Ramirez;2007;31987;0;31987;-0.108698408
Ramirez;2008;30759;0;30759;-0.376684918
Ramirez;2009;30967;0;30967;-0.331293066
Ramirez;2010;26854;0;26854;-1.228873291
Ramirez;2011;28625;0;28625;-0.84238786
Ramirez;2012;26977;0;26977;-1.202030994
Ramirez;2013;30513;0;30513;-0.430369512
Ramirez;2014;25562;0;25562;-1.510826524
Ramirez;2015;24340;0;24340;-1.777503654
Ramirez;2016;25111;0;25111;-1.60924828
Pocitos;1984;59456;0;59456;-0.92051685
Pocitos;1985;57132;0;57132;-1.178150576
Pocitos;1986;60756;0;60756;-0.776401599
Pocitos;1987;61114;0;61114;-0.736714476
Pocitos;1988;59618;0;59618;-0.902557873
Pocitos;1989;60813;0;60813;-0.7700827
Pocitos;1990;68913;0;68913;0.127866173
Pocitos;1991;64494;0;64494;-0.362014823
Pocitos;1992;57822;0;57822;-1.101658635
Pocitos;1993;66184;0;66184;-0.174664997
Pocitos;1994;55038;0;55038;-1.410286989
Pocitos;1995;56014;0;56014;-1.302089692
Pocitos;1996;60813;0;60813;-0.7700827
Pocitos;1997;59837;0;59837;-0.878279996
Pocitos;1998;49884;0;49884;-1.98164853
Pocitos;1999;67238;0;67238;-0.057820786
Pocitos;2000;60074;0;60074;-0.852006677
Pocitos;2001;76030;0;76030;0.916841744
Pocitos;2002;69048;0;69048;0.142831987
Pocitos;2003;70876;0;70876;0.345480202
Pocitos;2004;72632;6;72638;0.540811796
Pocitos;2005;77286;0;77286;1.056079248
Pocitos;2006;68960;0;68960;0.133076493
Pocitos;2007;70114;0;70114;0.261006493
Pocitos;2008;77657;0;77657;1.097207523
Pocitos;2009;77664;6;77670;1.098648676
Pocitos;2010;83099;0;83099;1.700496136
Pocitos;2011;82954;0;82954;1.684421743
Pocitos;2012;81306;12;81318;1.503058242
Pocitos;2013;76749;12;76761;0.997878858
Pocitos;2014;73943;0;73943;0.685481337
Pocitos;2015;75976;0;75976;0.910855418
Pocitos;2016;76536;0;76536;0.972935834
Buceo;1984;44700;9363;54063;-0.35127926
Buceo;1985;46444;4898;51342;-0.59267101
Buceo;1986;55397;4476;59873;0.164151121
Buceo;1987;55501;2608;58109;0.007659006
Buceo;1988;56214;3650;59864;0.163352692
