beach;lat;lon;len;or;orcat;ui;uistd;ndvi;ndvistd;nl;nlstd;hpd;hpdstd;npix
Pocitos;-34.91242288;-56.1473465;121575;125.55;SE;0.847;0.29;0.158;0.148;72.569;16.532;10845.4;4903.76;11469
Malvin;-34.89637387;-56.10580444;109283;189.2;S;0.874;0.256;0.163;0.115;80.495;16.242;10009.51;4602.5;10416
Brava;-34.89721863;-56.09928131;38755;145.7;SE;0.853;0.261;0.19;0.113;71.972;16.737;6068.39;1788.82;10308
Buceo;-34.89862655;-56.12056732;84593;143.9;SE;0.824;0.274;0.225;0.114;60.231;13.764;5080.94;1762.44;9265
Ramirez;-34.91495665;-56.17069244;43652;251.49;W;0.809;0.275;0.235;0.111;55.919;13.585;4347.15;1544.93;8402
Honda;-34.89581069;-56.09172821;69022;168.69;S;0.749;0.302;0.26;0.115;53.79;13.45;3640.34;1346.08;9545
Mulata;-34.89890813;-56.06906891;21001;193.78;S;0.711;0.313;0.271;0.11;50.68;13.554;2977.71;1122.04;9974
Verde;-34.89750022;-56.07559204;56887;191.15;S;0.675;0.315;0.278;0.098;49.351;13.76;2394.49;807.63;8130
Ingleses;-34.89581069;-56.08486176;11742;216.58;SW;0.654;0.321;0.278;0.096;48.514;13.409;2175.5;619.7;7060
Carrasco;-34.89017867;-56.05327606;273316;146.12;SE;0.494;0.358;0.32;0.101;49.532;11.871;1753.68;550.79;8377
Cerro;-34.89609228;-56.2530899;47540;165.59;S;0.544;0.438;0.328;0.173;26.263;12.962;2688.06;2090.48;7751
SantaCatalina;-34.89271312;-56.29634857;17055;192.92;S;0.43;0.433;0.365;0.168;24.98;13.011;2366.46;1967.67;8914
Yeguasgde;-34.89383952;-56.30390167;72111;155;SE;0.204;0.322;0.424;0.138;11.693;10.82;780.78;1096.28;11047
Yeguaschica;-34.89665545;-56.30973816;24811;164.96;S;0.162;0.28;0.433;0.129;8.584;9.823;508.62;781.43;10053
PajasBlancas;-34.86990021;-56.34132385;35677;199.32;S;0.174;0.289;0.432;0.134;7.437;10.195;368.09;691.6;8234
PtaEspinillos;-34.84172739;-56.40174866;25183;198.54;S;0.111;0.22;0.497;0.12;5.515;4.337;254.44;287.36;10954
DelNacional;-34.89693704;-56.27094269;48899;198.68;S;0.108;0.216;0.499;0.125;3.905;3.587;136.38;240.17;9229
Mailhos;-34.84369981;-56.39282227;44501;209.93;SW;0.056;0.13;0.497;0.1;2.112;0.957;44.83;45.18;8380
JuanTorora;-34.8659566;-56.35574341;22963;235.38;SW;0.072;0.15;0.473;0.107;1.682;0.886;34.34;32.94;9774
LaKolorada;-34.8580688;-56.37634277;21118;235.84;SW;0.079;0.149;0.463;0.101;1.169;0.453;17.16;9.95;9797
LaRochita;-34.85158898;-56.38149261;31761;215.1;SW;0.086;0.161;0.454;0.106;1.214;0.526;15.37;2.73;9579
